no,职位,公司名,薪资,经验,学历,位置,关键词,描述,详细位置,详情页
4,大数据运维工程师,佩米网络科技,8-10K,1-3年,本科,上海·浦东新区·曹路,"Hadoop,Oracle,MySQL","['传统系统', '1.计算机相关专业，本科以上学历', '2.良好的团队合作精神,较强的沟通能力和理解能力', '3.熟悉主流数据库技术,如oracle、MYSQL、PostgeSQL、Hadoop等', '4.了解etl架构,有一定的etl开发经验,了解日常作业的部署和调度', '5.了解银行业务系统，有数据仓库知识', '6.了解银行监管报送系统业务知识的优先']",上海浦东新区兴业银行(来安路)1,https://www.zhipin.com/job_detail/d86abe70370256101XZ63NW6GFdR.html?lid=EC6acqknzO.search.124&securityId=SGSpXkimlEIsG-A1FZSKTy1DMaABBUbv5jVmYFLKmT0YTLLqYRi3IjH9HF1VOZ2GWwo-RAzqApRQ-JPVT5ih-JmAmSKJgw0hBIg09wKnFhc3mdXkJOFM&sessionId=
5,大数据运维工程师,大地金科,11-20K·13薪,3-5年,本科,上海·浦东新区·陆家嘴,"Python/Shell,大数据运维经验,Hadoop,kafka,Hive","['岗位职责:', '1、负责Hadoop、Hive、Hbase、Spark等大数据平台的规划、部署、监控、优化;', '2、负责大数据平台的运营管理、方案评审、组件优化;', '3、负责大数据平台的异常与故障处理，应急响应，保障平台持续稳定运行;', '4、持续跟踪业界技术发展动态，并结合业务发展需要，研究引入新兴技术。', '任职资格:', '1、熟悉Hadoop大数据生态圈，熟悉Hive、Hbase、Yarn、Spark、kafka等组件的工作原理，并且有实际部署运维经验；', '2、深入理解Linux系统，熟悉运维体系架构；', '3、熟悉shell脚本及Python编程;', '4、具备良好的团队协作意识与主动意识。', '优先考虑：', '有自动化运维平台构建经验或Hadoop组件源码阅读与分析能力者。']",上海浦东新区大地保险大厦6层大地金科,https://www.zhipin.com/job_detail/c25488e7c1db13531XB539-6FVBX.html?lid=EC6acqknzO.search.125&securityId=gxe64AqfwdlP0-m1ouCQbvWbVW8AYZwEkFMLlTOXhnW_TQSbjWwAXCIe4l5j1K6B7Fg_foKM_ow17FivUTu0OcIJVQSnLLYJaDVeHmCsPx5pstiZJH0~&sessionId=
6,大数据平台开发程师,绿岸,15-25K·13薪,1-3年,本科,上海·宝山区·通河,"Python,Java,大数据开发经验,数学/统计相关专业,计算机相关专业","['大数据采集 爬虫方向', '岗位职责', '1. 参与爬虫和数据采集系统的设计和开发', '2. 参与数据抽取、清洗、转化等数据处理程序开发', '3. 参与大数据分布式应用系统服务器端软件开发工作', '4. 从事大数据技术研究和开发工作，跟进大数据技术发展方向', '任职要求', '1. 2 年以上软件开发经验，有爬虫开发经验优先', '2. 熟悉 Linux 平台，精通 Python，熟悉常用的爬虫框架和工具', '3. 有一定Java 语言开发背景，熟悉 Spring 技术体系', '4. 良好的SQL功底，熟悉数据库原理，熟练使用至少一种主流关系型数据库', '5. 熟悉Hive，HBase，Kafka，Clickhouse 等大数据相关生态组件', '6. 熟悉MapReduce，Spark，SparkStreaming，Flink 等数据分析引擎至少一种的原理和使用', '7. 沟通能力强，有较强的学习能力，有较强的责任心和良好的团队协作能力']",上海宝山区上海绿岸网络科技股份有限公司,https://www.zhipin.com/job_detail/d473cfcdce2b2d961Xd83921GVNS.html?lid=EC6acqknzO.search.126&securityId=duEIFZ6lOBAtd-C1uRy4zUoHbXQqvcFI_ujUhYJTsIoxeStmPNMy4iR5VN9kkorq6k5EHepEhEwy3s7qGQYM16DYrF2s8MPdBDVUUmYTYYDaXQO4OA~~&sessionId=
7,大数据运维工程师,齿鲸智能,10-15K·14薪,3-5年,本科,上海·虹口区·大柏树,"Spark,Storm,Kafka,大数据开发经验,数仓建设经验","['职责：', '1、负责大数据平台的搭建及优化', '2、负责大数据应用和服务的开发', '要求：', '1、熟悉HiveSQL语言，熟悉shell，python等脚本语言。', '2、有hadoop、spark、flink等大数据平台的使用经验。', '3、熟练掌握Hadoop及Map-Reduce应用开发，熟练掌握HBase、Hive、Storm、spark等大数据开发工具。', '4、熟悉至少一种实时计算引擎Storm，SparkStreaming，Flink对hadoop生态其他组件有一定了解，比如HBase，hadoop，Hive，Druid等。5、精通SQL，熟悉常用的关系型数据库、非关系性数据库和数据仓库，具有SQL性能优化经验。', '6、了解微服务开发理念、实现技术，熟悉常见设计模式，熟练掌握SSH开发框架，熟练进行Java、Python代码编写，熟悉多线程编程。', '7、熟悉Linux/Unix系统和丰富的Java开发经验。']",上海虹口区岳山丘共享空间303,https://www.zhipin.com/job_detail/87aff8e229d2d1b51Xx409S7ElVV.html?lid=EC6acqknzO.search.127&securityId=yQuNgYZBLuOpx-h1tk1ok2JGWAi6TbAWuuwlY_-JvFs6BKBAQEyMLv4KrS8lBczdKruPWu-dFb5z7eB0xdSuXLVzIRxSz33PauatBJCzCmfgiuD2VZlB&sessionId=
8,大数据运维工程师,朗新科技,10-14K·14薪,1-3年,本科,上海·徐汇区·徐家汇,"运维工程师,大数据运维,hdfs,集群运维,Hadoop",,,https://www.zhipin.com/job_detail/803b4e076876ee5a1nR_3NS0FVFR.html?lid=EC6acqknzO.search.128&securityId=btDfJBXZieBnP-61pmARw1-pQQGF4OVQq1LTU-RLunrY8PEHYA3L7K5Pz8GmLOqce__x-G7nRA9CR5ESRH43UFwy3eTzILZzm82oKK4XDBqMO9Q~&sessionId=
9,大数据模型架构师,上海千声网络,12-22K,1-3年,大专,上海·浦东新区·周浦,"数据架构,数据处理,数据库管理员","['1.\xa0负责企业级数据的收集、加工、清洗和存储；', '2.\xa0搭建数据服务，支持数据可视化，数据模型搭建和数据分析挖掘；\xa0', '3.\xa0负责整体数据架构设计，完成从业务模型到数据模型的设计工作，保证数据的安全性；', '4.\xa0完成各种业务场景下的数据分析模型的定义和应用开发；', '任职要求： ', '1. 本科或以上学历，计算机科学技术相关专业，三年或以上相关工作经验； ', '2. 对大量数据的批量处理和实时分析有实战经验； ', '3. 熟悉Hadoop生态环境体系的搭建和管理，掌握Hadoop、HBase、Hive、Spark、Impala、Kafka等开源项目的原理和使用方法 ', '4. 熟悉MySql, MangoDB, NoSQL等数据库技术 ', '5. 精通J2SE, J2EE等Java技术，熟悉Java IO, 多线程编程，熟悉JVM机制/内存管理/网络协议']",上海浦东新区星月·智汇湾沈梅路123弄30号,https://www.zhipin.com/job_detail/e8a65ad08596501b1XJ52t64GVo~.html?lid=EC6acqknzO.search.129&securityId=e9lEEfEMWv1HH-41Gd36fzjfquXHH0-tfSFAyosxPkoyGy2Yqz94B3b4tTfVGt8yWRtIcZKYdM_PWB2YVIYVw53Cr3cBWcR1120CYFIisFaONwRj&sessionId=
10,大数据测试工程师,德云信息技术,10-12K,1-3年,大专,上海·普陀区·真如,"SQL,自动化测试,功能测试,接口测试,白盒测试,黑盒测试","['岗位职责：', '1、负责大数据、数据仓库和BI报表相关产品的测试工作；', '2、根据需求文档、设计文档分析测试点、确定测试范围、制定测试方案和策略、编写测试计划及用例，并对Bug进行追踪管理以及出具测试报告。', '3、根据业务逻辑编写测试SQL脚本，独立完成项目中数据指标的测试，保证数据质量和性能；', '4、设计、实施监控数据产品的质量情况，提前检测发现数据的异常；', '5、编写自动化测试脚本提升测试效率；', '岗位要求：', '1、3年以上系统测试经验，有大数据测试或者报表测试经验优先；', '2、熟练掌握Oracle、hive等关系型数据库及常用SQL；', '3、熟悉Hadoop生态圈，熟悉oozie,hive,spark有大规模数据处理测试经验者优先；', '4、熟悉Excel等数据分析工具。']",上海普陀区普陀绿地缤纷城2期天汇广场88号502室,https://www.zhipin.com/job_detail/a11e6275093547aa1XZy3t68EFdY.html?lid=EC6acqknzO.search.130&securityId=jgomtlRIDc5Z4-H1YVn0hTpajy4AfexOmdV3wD8mQ6rrfZPV5S5t-oxCM8wnv3VNqomG9Xjen-df7Yu3daVXDEtV9kG1k-YX2RWByGfAFTa9SAVzvA~~&sessionId=
11,资深大数据架构师,九章云极,30-40K,10年以上,本科,上海·静安区·静安寺,"系统架构,高级技术管理,大数据",,,https://www.zhipin.com/job_detail/81f6f98ee4b0d2911HV539u_E1I~.html?lid=EC6acqknzO.search.131&securityId=nJdnN7YFPYDcj-m1JU6rgderefZ6uQ0FsfnZBG1jUCJxjaSCRG0M17mpcTuabK_49p5czVHpjY1zeYkJl_YhSEANIFSer6TYOV0LSWHpDorH5g~~&sessionId=
12,大数据分析实习生,联洋国融,200-230元/天,4天/周,3个月,上海·浦东新区·三林,"SQL,Python",,,https://www.zhipin.com/job_detail/30de6e63dda259d21XF52dm_FFpZ.html?lid=EC6acqknzO.search.132&securityId=k5NXvY1PJ1KvT-m1Spc36qaebQqlM1tGhCs_rWpmlmcCwu0FWykD7iILFJxXOXoQ11Q9jSnzgvRvtICcNCxpIyfo08280SsLg3qyRLhpuz6RpCA5UGk~&sessionId=
13,大数据运维工程师,壹品慧数字科技,12-24K·13薪,3-5年,本科,上海·浦东新区·陆家嘴,"系统运维,运维开发/DevOps,DBA,大数据运维,运维工程师","['岗位职责', '1. 负责公司业务系统的部署，监控，预案，故障排查与后续优化推进工作；', '2. 完善应用的发布，扩容，降级，标准化等事务，提升业务健壮性保障服务SLA；', '3. 负责设计实现与日常运维相关的自动化工具或系统，减少人工操作提高运维效率；', '4. 参与自动化运维平台建设，踏实践行DevOps，全面提升运维效率；', '5. 负责突发事件管理，问题跟踪与管理，提供运维报告。', '6. 完成部门领导安排的其他工作。', '岗位要求', '1. 本科及以上学历，计算机、软件相关专业，5年以上工作经验；', '2. 负责公司大数据集群的运维工作,有Doris/starRocks 集群运维项目经验优先；', '3. 熟练掌握业内成熟的开源服务,如HDP、cdh、hbase、hdfs、spark调优、', 'rabbitmq、kafka、elk、Iceberg等；', '4. 深入了解Linux操作系统和体系结构，熟悉网络基本技术；', '5. 精通Shell编程，熟悉Python、Java等开发语言；熟悉devops、微服务理念', '6. 熟悉主流互联网高可用架构，熟悉LVS，Nginx，SLB等组件的配置和优化', '7. 熟悉CI/CD流程，熟练掌握Jenkins，Git，Maven等工具的使用，有自动化发布项', '目建设经验优先；']",上海浦东新区中国船舶大厦11层1101室,https://www.zhipin.com/job_detail/ae43d92d4e6e46981Xxz3Nq5GVVW.html?lid=EC6acqknzO.search.133&securityId=yb3vKe8nAsMwE-i1OaSCQZCMk3yLODKzeoA0idI2R40jO5GPtMS22YyArqfD89ptdyl_mWyWUHanzWqJjdt08sFQrWI4vEvhXK3Xq1OBqOt9AAgZnqk~&sessionId=
14,高级大数据分析师,DotCUnitedGroup,30-40K,3-5年,本科,上海·徐汇区·岳阳,数据分析/挖掘经验,"['（区块链方向）', '基于现有大数据框架，开发大数据数据分析业务；', '-负责产品数据质量与效率的优化；', '-负责链上数据分析平台产品的构建；', '-负责基于大数据的分析挖掘运用于产品数据运营场景；', '-实现结构化数据的高性能运算、量化分析（如聚档、分类、回归分析、文本挖掘、图像处理、机器学习）、推荐算法等。', '职责要求:', '-有大型互联网公司大数据平台及数据开发经验者优先；', '-有大规模离线计算，实时计算，OLAP数据仓库和海量数据存储经验者优先；', '-精通大数据相关技术，包括但不限于hadoop /hive /flume /dolphinscheduler /hbase /kafka/spark；', '-至少熟练掌握如下一种语言：Java/Python/shell/HiveQL/ClickHouse，以及在数据处理过程中完成不同平台功能模块的开发、互调；', '-熟悉数据结构&算法、数理统计、大数据分析算法等基础知识；学习能力强，对于新技术、数据应用创新有浓烈的兴趣，敢于迎接挑战；', '-有区块链或加密行业构建相关经验优先；', '-具备极强的交付意识与学习能力，有较强的产品理解、沟通、团队协作能力，细致耐心、积极主动；']",上海徐汇区尚街Loft时尚生活园区1号楼318,https://www.zhipin.com/job_detail/f31e32ec95fc5fc81XBy3Nq9FlFX.html?lid=EC6acqknzO.search.134&securityId=SSARI6WvVGu5A-e1RaYR0agB3yRrHqpkwAk4PoDbYLPBqfamU-nD6ePpAd8olUsSBLGfuM1iwB7ANi-wMzqYJJpnyAQX_fBy74GcgV3KpsT4nJQ~&sessionId=
15,工业大数据工程师,上海知策信息科技,15-20K·14薪,1-3年,本科,上海·浦东新区·花木,"Python,Redis,Spark,ETL设计/开发经验,大数据开发经验","['岗位职责：', '•\t针对重点行业（钢铁、化工、新能源等）的智能制造与数智化升级，深入理解客户的业务需求，运用工业大数据技术实现工业领域客户数据资产的数据采集与价值挖掘', '•\t参与企业级工业大数据平台产品的系统设计与研发，负责相关产品的具体实现', '•\t在工业应用项目中，基于公司的数据平台产品，根据业务场景进行数据集成、数据规则的定义、数据转换、特征抽取、数据清理、数据分析等模块的开发、部署和测试、并支持数据分析应用的开发和落地', '•\t对数据处理过程中的问题进行准确的分析和定位，并解决问题', '•\t参与项目文档与技术文档的编写', '任职要求：', '•\t精通Python常用数据处理包及其生态技术（例如Pandas，Dask，Feast等），精通SQL语言', '•\t熟悉常用的关系数据库（PostgreSQL，MySQL），时序数据库（TimeScaleDB、InfluxDB），实时数据库（Redix）等相关技术，具备一定的开发经验', '•\t熟悉大数据分布式存储、并行化计算等相关技术，如Hadoop、Spark、Flink、Kafka等', '•\t有工业现场的设备数据、生产数据、MES数据等数据采集、数据集成、数据湖与IoT平台建设相关工作经验者优先', '•\t有良好的业务理解和团队合作能力', '•\t3年左右相关工作经验']",上海浦东新区WeWork(浦东嘉里城)1020,https://www.zhipin.com/job_detail/e25284201c95059f1XN_3N20F1JS.html?lid=EC6acqknzO.search.135&securityId=qHVsjboMv3bGF-01I7jnK8BiW7lpbfykxYefV36ak3RGa_bCFWeaGp1a5QW40Z2JRk63-2kICzcQ3AQfiS4ie2tH_g4jFq_HzLilExWtIKSyXDr7YSDO&sessionId=
16,大数据平台开发专家,360集团,35-50K·15薪,5-10年,本科,上海·虹口区·北外滩,"Python,Shell,Scala,Spark,Hadoop,Flink","['1. 参与商业化数据中台的架构设计、优化以及平台化集成开发，构建湖仓一体的数据开发平台。', '2. 负责数据平台各组件的容量规划、部署、扩容，以及日常的故障处理与性能调优，能快速定位问题并排除故障，为业务开发人员提供日常支持。', '3. 支撑商业化业务目前日均100TB/100亿流量下的数据仓库、实时报表等关键业务，并有能力进行更大规模流量下的可用性、可扩展性、高效性优化。', '任职要求：', '1. 掌握Linux操作系统，了解Linux的基本原理，熟练常用的系统命令，能够应对日常的系统运维与性能优化；', '2. 熟悉Hadoop/Spark/Flink/Hudi/Iceberg等大数据生态技术的原理，能够深入阅读与理解源码，有源码贡献经验者优先；', '3. 熟悉Java/Scala/Python/Shell等开发语言，了解JVM原理，有一定的JVM优化经验，能够独立开发大数据相关平台工具；', '4. 理解数据治理相关方法和知识，了解企业级数据建模与主数据管理、数据质量管理、数据标准管理等方法；', '5. 3年以上Hadoop或相关大数据平台的开发与运维经验，有1000台以上集群经验者优先；', '6. 具有良好的团队合作意识和良好的沟通能力，思维敏捷、有主动发现问题与解决问题的能力。']",上海虹口区上海白玉兰广场购物中心东大名路501号上海白玉兰广场6楼,https://www.zhipin.com/job_detail/18eca4d9c846a0ca1nxy2N60EFFS.html?lid=EC6acqknzO.search.136&securityId=WakjFVqGuml3H-51ARy3bTZ-hXu-mCEzm4cdZHdKAXr41hjz4lz64xhzDk4UgdcBsQ--puLzfgkVsnbcgh1lv3kbRQP8fv30OXsmBJixRwJWqL4T1uW8&sessionId=
17,大数据建模工程师,速林网络,11-15K·13薪,3-5年,本科,上海·静安区·南京西路,"Python,大数据处理经验,机器学习经验,机器学习,深度学习,运营商","['1、基于电信行业CRM、计费等专业系统的存量和实时数据，通过数据挖掘、大数据处理、数据分析等技术，对用户行为数据和销售特征数据进行挖掘与分析，包括但不限于用户画像、营销推荐、离网预测等方向；', '2、结合业务场景，对电信行业领域内智慧运营相关数据应用场景进行数据建模，通过数学方法予以分析，提出优化解决方案。如精准营销，智慧运维等； ', '3、根据业务需要进行数据探索、包括算法选取、领域数据准备、数据预处理、特征抽取，以及模型验证； ', '4、研究人工智能数据挖掘机器学习深度学习等领域的新技术、新算法，提出针对业务场景的实施方案，并负责方案的验证和实施落地。 ', ' ', '任职资格： ', '必备条件: 熟练使用SQL', ' ', '1、本科及以上学历，数学、统计学、计算机、通信等相关专业； ', '2、具有2年以上运营商行业数据开发、数据分析或挖掘相关工作经验； ', '3、熟悉数据结构、主流数据挖掘、机器学习相关的算法知识,熟悉TensorFlow、Theano、Torch、Caffe、MXNet等深度学习框架者优先； ', '4、精通使用python语言进行大数据模型开发，熟悉hadoop、hive、spark等一个或多个分布式计算框架算法平台优先； ', '5、较强的数据敏感度，逻辑分析能力；较好的数学模型能力，扎实的机器学习、数据分析基础；', '6、勤奋踏实、工作积极主动、有责任心，能够在压力下工作; 具有较强的团队协作意识及沟通能力。']",上海静安区京泰楼1号楼,https://www.zhipin.com/job_detail/d0ff06f1fce4d79c1X182tW6EFpR.html?lid=EC6acqknzO.search.137&securityId=zGItSMci4WRWr-A1KzV3epbeIhNIs4vmF7Ldg3YbP8XwOZPlWgK9szJwL7BBuAwC1f8xR_kSrDPLC0iovKcQ8-Eo605x3OlexA4dwz9Jx-atLF2msrI~&sessionId=
18,大数据产品总监（ERP）,熙软科技,18-35K·14薪,5-10年,本科,上海,B端产品,"['职责描述：', '1、根据公司战略发展规划，制定大数据相关产品的规划与产研工作，对市场情况及公司现有产品线进行评估，制定产品计划。', '2、根据年度产品计划，完成产品体系的建设工作（产品应用设计、开发跟进、试点实施、质量管理、销售工具，市场推广等），同时依据需要完成各类产品的资质、认证工作的申请工作。', '3、负责产品全面的技术支持工作，并建立相关流程和制度。', '4、品牌推广：根据品牌定位和营销渠道，结合年度品牌推广计划，参加诸如行业协议、展会、技术交流会、客户拜访等工作，设计推广工具。', '5、销售支持：按照品牌定位和产品特点，制定重点产品的供应计划，保证产品的供应正常。', '9、重点项目的重点支持工作（售前、售中、售后等）。', '任职要求:', '1、本科以上学历，计算机及通信类专业；', '2、5年以上HIS、ERP、财务、人力资源、物流、项目管理、BI等相关系统设计、开发或实施经验，有CDR、医院运营管理相关经验优先。', '3、精通国内外相关产品标准体系、技术知识、行业背景、市场上下游关系，善于与市场接轨；', '4、具备良好的判断力、组织协调能力，沟通能力及执行力强；', '5、熟练使用Word、Excel、PowerPoint、Visio、Axure等工具。', '加分项', '有以下行业经验：医疗健康·数据服务·计算机软件']",上海杨浦区上海中天大厦(四平路)四平路1063号中天大厦17楼,https://www.zhipin.com/job_detail/0bfeee6dfd0669d31XF939W-GFdX.html?lid=EC6acqknzO.search.138&securityId=-0px3xGne2dXL-q1OqMtQoaGC4ML9mdtxU5kOJ7y0eIovx4Gwd-ZLnuGth3XNuQ3kDzEa7NtVW5sCwPnLrrhMtiVm-VVeGaXMIY5ZFeBq4EQPD4xZipZJqx1Y4ruUGjJ09R651Zeayyf6F-krL909g~~&sessionId=
19,大数据研发工程师,蚂蚁集团,22-26K,在校/应届,硕士,上海·浦东新区·陆家嘴,"HIVE,MapReduce,Hadoop,HDFS",['如果你想参与阿里大数据的采集、存储、处理，通过分布式大数据平台加工数据，支持业务管理决策， 如果你想参与阿里大数据体系的模型设计、开发、维护，通过元数据、质量体系有效的管理和组织EB级的数据， 如果你想参与阿里大数据产品的研发，发挥你的商业sense，通过数据分析和算法来洞察数据背后的机会，来探索大数据商业化， 如果你想接触世界领先的大数据处理与应用的技术和平台，获得大数据浪潮之巅的各类大牛的指导， 那就加入我们吧！'],上海浦东新区蚂蚁S空间17楼,https://www.zhipin.com/job_detail/4240481f33d1ae1b1XV-09S8FlBT.html?lid=EC6acqknzO.search.139&securityId=VugpoXB8Kw5Ii-21hBNg8yWzYLrDUHH6iey9HRuX_1zRgYZoy-9oxPqnK6ZVoZwi-ynfloRckXJmg41og8zBcqNq4jJtx-M68gxDzZSsI4HTX1QScuA~&sessionId=
20,大数据测试工程师,卯聚,13-25K,3-5年,本科,上海·静安区·火车站,"hadoop、hive,Linux","['岗位职责：', '1.负责大数据部门相关数据的加工处理测试，负责加工逻辑的功能测试，白盒测试、自动化测试等；', '2.独立设计和执行设计用例，进行缺陷跟踪，制定测试计划，与开发协作实现各阶段的测试活动；', '3.开发测试工具或自动化解决方案，提高测试效率；', '4.对项目的测试进度进行把控、识别并预防测试风险、进行测试过程改进；', '5.对测试中发现的问题能够进行分析和定位，与开发人员、需求人员积极有效沟通，推动问题解决。', '任职要求：', '1.本科以上学历，3年以上软件开发或自动化测试框架开发经验；', '2.熟悉hadoop、hive等大数据生态系统相关产品知识者优先；', '3.具有良好的抗压能力，独立解决问题能力，有数据仓库，BI，大数据解决方案相关测试经验者优先；', '4.具备良好的语言表达能力，良好的组织和协同能力；', '5.熟练操作Linux，至少熟悉Shell，Python，Java中一门语言，熟悉Selenium等测试框架者优先；', '6.熟悉Jenkins，Maven等持续构建工具者优先；', '7.熟悉数据库理论，SQL熟练。']",上海静安区宝矿洲际商务中心,https://www.zhipin.com/job_detail/e8f31ee7cc18f5651H190t-4ElE~.html?lid=EC6acqknzO.search.140&securityId=M7KCxCBegyhvy-E1ZdECx2vK1CA5KVhUfRYlfpO6V5P53hR7buKCKBXETesnqUZQzxVLvce04J8UZ8ssmDfpxa1uOxBK1AWLSYk0HmJrSoBlCkcY&sessionId=
21,环境大数据分析师,罗克佳华,8-11K·13薪,3-5年,本科,上海·奉贤区·柘林,数据分析,"['职位关键词：', '环境工程，环境科学与工程，大气科学，数据分析，环境科学', '岗位职责：', '1. 负责前期协助销售了解客户需求，与客户进行技术交流及方案的沟通；', '2. 持续与客户交流分析，挖掘客户真实业务需求，将客户的需求转化为服务需求设计及解决方案；', '3. 负责提供技术以及方案咨询服务；', '4. 及时、准确地提供、反馈各项目的数据分析情况；', '5. 做好数据总结报告，以及领导交办的其他事宜。', ' 任职要求：', '1. 全日制大学本科及以上学历，统计、大气、环境等相关专业；', '2. 有售前实施或大气与环境等相关工作经验者优先；', '3. 自我调节能力强，具有对客户的服务想法与思维；', '4. 工作用心，头脑灵活，在与客户沟通上有变通能力；', '5. 具有较强的工作计划性和实施执行能力，可协助领导完成方案的编写、交流、答疑等工作.', '职位亮点：', '五险一金 年底双薪 带薪年假 餐补 全勤奖 定期体检 周末双休 大牛带队 节日福利', '完善的薪酬福利制度、健全的培训体系、畅通的晋升通道、轻松愉快的工作氛围！', '我们崇尚--学习就是力量，简单就是智慧！', '罗克佳华期待与您共赢！']",上海奉贤区上海化学工业区管委会总值班室化工园区,https://www.zhipin.com/job_detail/e52314cd727cffb71XN_2ty5FFBU.html?lid=EC6acqknzO.search.141&securityId=CuljcAMuwT3s1-W16ASgRP8r7R0H-1tpRSQSWeleKa8CswyYKy_uTWzU4iBgKkOa66Dj3dHaHPMWy9TrP51b54621CfG9NgL6u5dsCFeujMgbsqc6Q~~&sessionId=
22,征信大数据销售总监,羽山数据,20-40K,3-5年,本科,上海·虹口区·北外滩,"征信,风控,新客户开发,大数据,销售总监,渠道销售,商务总监","['薪酬结构：', '无责任底薪+责任工资+签约奖金+销售提成+项目奖金+员工期权', '提成奖金：', '按销售提成制度执行 ', '该岗位要求有3年以上的企业客户营销服务经验', '职责描述： ', '１、负责金融、人力、安防、大数据等行业相关合作伙伴大数据服务的商机拓展并签署合作协议，完成销售目标 ', '２、负责行业商机拓展、需求匹配、商务谈判、客户关系维护、项目落地等完整的销售链路 ', '３、负责内部与产品研发团队、项目实施团队的协调与配合； ', '４、负责已有客户的关系维护和服务 ', '任职要求： ', '１、3年以上企业客户销售经验，具有征信、金融行业大数据行业应用等销售经验者优先 ', '２、熟悉金融、人力、安防、大数据等行业结构以及现状，有大型金融客户数据或应用项目销售经验者优先 ', '3、积极、热诚，善于跟客户和公司的各部门、各层级交流 ', '４、拥有良好的商务拓展能力及谈判技巧']",上海虹口区浦江国际金融广场37C,https://www.zhipin.com/job_detail/c188c5629396a5d11nJ529y1FVNU.html?lid=EC6acqknzO.search.142&securityId=AZVqhOGOjYHH--A1wlNOdFVzk_dBf2aG37lZL_FqCoG9V5N0sxxJy3kPCBzRskkKebMhA0OW-AU2YEoI8ZjAf1G-eXEBp6p0b0qmzbaFLwsAdMHSUXc~&sessionId=
23,大数据解决方案经理,数离,20-25K,5-10年,本科,上海·普陀区·长风,计算机/通信相关专业,"['岗位描述：', '- 负责公司核心数据治理等产品的售前支持工作，包括配合销售人员外出洽谈客户、 与客户进行大数据产品技术交流、产品方案编写和宣讲、产品功能演示等；', '- 负责收集并诊断客户需求，评估产品和解决方案的匹配情况，推进产品和解决方案的不断改进和完善；', '- 负责其他数字化业务的解决方案输出，针对客户实际需求场景输出针对性解决方案；', '- 负责项目投标技术文件的编制、讲标文件的编制，讲标演示等；', '- 根据市场需求，设计基于公司产品线的通用解决方案，制作产品的标准宣传材料、PPT、文档、案例等为销售及市场工作提供支持；', '- 产品规划，协助进行产品规划和设计；', '岗位要求：', '- 计算机相关专业本科以上学历，5-10年工作经验，3年以上大数据相关售前经验，熟悉技术方案的设计、实施及项目应标流程； ', '- 需具备大数据生态、数据平台、数据治理、数据中台等技术储备；', '- 熟悉数据整合的方法及理论，了解相关软件及工具； 数据治理相关的方法及理论，了解数据管理工具；', '- 有大数据项目建设经验，完整参与过整个大数据项目全过程者优先； ', '- 有产品经理经验优先考虑，有产品思维，会使用相关工具；', '- 优秀的文字功底，勤于思考、思路清晰、逻辑思维能力强，精通Office等软件；', '- 良好的客户服务意识和沟通能力，学习能力强、乐于创造、团队合作、善于接受新事物。', '加分项', '有以下行业经验：数据服务·计算机软件']",上海普陀区天地软件园29栋,https://www.zhipin.com/job_detail/8126e1b22b7c056c1X173Nu_F1NQ.html?lid=EC6acqknzO.search.143&securityId=M66OEWpkNkEkL-e1kAZNtmnIklRdg05w_DJFvNU-uMbC4RSppliwGSwsa7d_d74ycYcLdms7ayzT6UqTzGsiQaZtFZIzuriwYgTEyD7-6QzhTqJuH4k~&sessionId=
24,大数据爬虫工程师,数智博,15-20K,1-3年,大专,上海·普陀区·长风,"爬虫,数据开发,Python,Java","['1 负责数据采集和相关架构设计', '2 负责后续大数据平台数据整理，应用于服务端']",上海普陀区罗莱生活大厦801,https://www.zhipin.com/job_detail/cf3dfae13f18b03e1Xdy3tu-F1ZV.html?lid=EC6acqknzO.search.144&securityId=1V9NuymQyG2aL-A1bNn5PaQF3o1NnxfWt4BjfRAJXdk8_85LDSKta5RaM9hghL34hER88KilCXPWBPVl80ubkkjrpLZve99q8hAK6Npt-jLj4nJa2g~~&sessionId=
25,大数据算法工程师,科大智能物联技术...,20-30K,3-5年,硕士,上海·松江区·泗泾,"研究导向,Java,Python,C/C++","['参与优化整体解决方案的设计和用户需求分析，并主要负责算法应用模块的研发 。应用领域包括供应链、物流、优化排产、智能调度等。', '任职要求：', '(1）运筹学与控制论、应用数学、计算机、自动化、工业工程、电子、数学等相关专业；', '(2）具备较好的数理知识、运筹学、数学优化或相关背景者优先，硕士及以上优先；', '(3）掌握主流数学决策和规划算法，熟悉常用的机器学习算法（如分类、预测等），熟悉基础的神经网络结构（如CNN、RNN等）；', '(4）具备较好的编程能力，熟练掌握C/C++，Python 或Java等一门编程语言；', '(5）良好的沟通、协调能力及团队协作能力，有调度优化项目经验的优化考虑，工作2年以上优化考虑；']",上海松江区科大智能机器人产业园西区1幢532室,https://www.zhipin.com/job_detail/035016c160ab1a0a1XN80tu4FVNR.html?lid=EC6acqknzO.search.145&securityId=-9FT9raqsAEPe-R1dpthbEuofUOK_PcyrnSk556rdds4lz3_aeTC5QzCoc81d9nU_KRB2MIrcdb45QdCEGbPorMpiDloV1yNxgWe3OP7jjs5GYWXBA2O&sessionId=
